id_denuncia;tipo_de_denuncia;id_violencia;tipo_violencia;periodo_dia;endereco;estado;nome;idade;identidade_de_genero;orientacao_sexual;etnia;escolaridade;genero_biologico
24;Discriminacao;24;Psicologica;Tarde;Loteamento João Lucas Barbosa, 51;CE;Pedro Miguel Montenegro;34;Homem Transgenero;Heterossexual;Branco;Ensino Medio Incompleto;Feminino
25;Invalido;25;Sexual;Tarde;Travessa de Cavalcanti, 793;AL;Srta. Maysa Gonçalves;53;Mulher Cisgenero;Bissexual;Negro;Ensino Superior Incompleto;Masculino
26;Agressao;26;Moral;Tarde;Campo de Lopes, 497;SP;Marcela Silveira;171;Mulher Transgenero;Pansexual;Branco;Ensino Fundamental Incompleto;Masculino
27;Discriminacao;27;Moral;Tarde;Lagoa de da Mota, 450;RO;Luiz Henrique Nogueira;125;Nao-Binario;Heterossexual;Pardo;Pos-graduacao;Masculino
28;;28;Psicologica;Tarde;;;;104;;;;;
29;Outros;29;Psicologica;Tarde;Trevo Yasmin Nunes, 442;MA;Benjamin Andrade;nan;Mulher Cisgenero;Bissexual;Pardo;Ensino Superior Completo;Feminino
30;Invalido;30;Sexual;Manha;Passarela Casa Grande, 460;PI;Ana Liz Andrade;55;Homem Transgenero;Heterossexual;Indigena;Ensino Medio Incompleto;Masculino
31;Outros;31;Psicologica;Manha;Viaduto Barros, 747;XX;Marcelo Cavalcante;32;Mulher Cisgenero;Heterossexual;Pardo;Ensino Superior Incompleto;Masculino
32;Invalido;32;Sexual;Noite;Trecho Pietra da Paz, 568;SE;Srta. Maria Santos;92;Homem Cisgenero;Heterossexual;Negro;Ensino Fundamental Completo;Feminino
33;Violencia Domestica;33;Patrimonial;Manha;Conjunto de Cavalcanti, 929;ES;Laura Novais;16;Nao-Binario;Pansexual;Negro;Ensino Fundamental Incompleto;Masculino
34;Discriminacao;34;Fisica;Tarde;Aeroporto de Garcia, 46;RJ;Henry Gabriel Farias;182;Mulher Transgenero;Bissexual;Indigena;Ensino Fundamental Incompleto;Masculino
35;Agressao;35;Moral;Noite;Estrada Benício Correia, 289;XX;Srta. Maitê Araújo;80;Mulher Transgenero;Heterossexual;Amarelo;Ensino Fundamental Incompleto;Masculino
36;;36;Sexual;Noite;;;;97;;;;;
37;;37;Sexual;Noite;;;;29;;;;;
38;Discriminacao;38;Patrimonial;Manha;Campo Costa, 706;PB;Ravi Sales;6;Homem Cisgenero;Heterossexual;Pardo;Ensino Fundamental Completo;Masculino
39;Invalido;39;Psicologica;Noite;Trevo de Vargas, 274;CE;Ísis Almeida;74;Mulher Cisgenero;Bissexual;Indigena;Pos-graduacao;Feminino
40;Outros;40;Psicologica;Manha;Sítio Lopes, 91;PE;Sr. Cauê Castro;nan;Homem Cisgenero;Heterossexual;Indigena;Ensino Superior Completo;Feminino
41;;41;Fisica;Madrugada;;;;75;;;;;
42;Discriminacao;42;Sexual;Noite;Setor Bento Melo, 532;MT;Isis Moura;nan;Homem Transgenero;Pansexual;Indigena;Pos-graduacao;Masculino
43;Invalido;43;Moral;Noite;Travessa de Porto, 156;RN;Maya Abreu;21;Mulher Transgenero;Homossexual;Negro;Ensino Superior Completo;Masculino
44;Violencia Domestica;44;Patrimonial;Madrugada;Travessa Maria Alice Sampaio, 155;XX;Agatha Abreu;43;Homem Transgenero;Pansexual;Indigena;Ensino Superior Incompleto;Feminino
45;Discriminacao;45;Patrimonial;Noite;Lago de Barros, 968;AL;Henry Souza;131;Homem Transgenero;Assexual;Branco;Ensino Fundamental Completo;Masculino
46;Violencia Domestica;46;Moral;Noite;Estação Aparecida, 227;XX;Stella Nunes;68;Nao-Binario;Heterossexual;Negro;Ensino Medio Completo;Feminino
47;Invalido;47;Moral;Manha;Estação de Pinto, 203;CE;Henrique Camargo;65;Nao-Binario;Assexual;Indigena;Pos-graduacao;Feminino
48;;48;Moral;Noite;;;;23;;;;;
49;Discriminacao;49;Patrimonial;Tarde;Viela Pietro Rodrigues, 301;XX;Davi Rodrigues;99;Mulher Transgenero;Homossexual;Negro;Ensino Fundamental Completo;Masculino
50;Agressao;50;Psicologica;Manha;Praia Luísa Rios, 729;PI;Elisa Pimenta;105;Nao-Binario;Homossexual;Negro;Ensino Superior Incompleto;Masculino
51;Assedio;51;Psicologica;Manha;Núcleo Gustavo Henrique Moraes, 140;XX;Emanuel Fonseca;6;Homem Cisgenero;Assexual;Indigena;Ensino Medio Incompleto;Feminino
52;Outros;52;Fisica;Tarde;Largo Moreira, 455;RJ;Allana da Costa;1;Homem Cisgenero;Heterossexual;Branco;Ensino Superior Completo;Feminino
53;;53;Fisica;Tarde;;;;20;;;;;
54;Invalido;54;Sexual;Manha;Morro de Camargo, 357;RS;Sra. Maria Laura Duarte;94;Mulher Cisgenero;Assexual;Amarelo;Ensino Superior Completo;Feminino
55;Discriminacao;55;Psicologica;Tarde;Condomínio Dias, 338;XX;Gustavo Montenegro;17;Mulher Cisgenero;Homossexual;Negro;Ensino Superior Completo;Feminino
56;Violencia Domestica;56;Psicologica;Tarde;Jardim de Siqueira, 285;TO;Srta. Esther Azevedo;126;Nao-Binario;Bissexual;Amarelo;Ensino Fundamental Completo;Masculino
57;Invalido;57;Moral;Madrugada;Área Luna Cunha, 616;AC;Matheus Freitas;31;Nao-Binario;Heterossexual;Negro;Ensino Superior Incompleto;Feminino
58;;58;Moral;Manha;;;;7;;;;;
59;Discriminacao;59;Patrimonial;Manha;Travessa Vargas, 792;AP;Carlos Eduardo Costela;55;Nao-Binario;Assexual;Pardo;Ensino Superior Completo;Feminino
60;Violencia Domestica;60;Fisica;Tarde;Aeroporto Caroline Sousa, 403;RS;Juliana Moura;129;Homem Transgenero;Heterossexual;Branco;Ensino Superior Completo;Feminino
61;Violencia Domestica;61;Psicologica;Noite;Estação Ramos, 550;PI;Matheus Farias;nan;Homem Cisgenero;Homossexual;Amarelo;Pos-graduacao;Masculino
62;;62;Moral;Noite;;;;51;;;;;
63;Assedio;63;Psicologica;Manha;Avenida Teixeira, 792;RN;João Fonseca;131;Nao-Binario;Homossexual;Negro;Ensino Fundamental Incompleto;Masculino
64;Assedio;64;Psicologica;Madrugada;Morro Macedo, 393;RJ;Bianca Dias;128;Homem Transgenero;Pansexual;Negro;Pos-graduacao;Masculino
65;;65;Sexual;Manha;;;;10;;;;;
66;Invalido;66;Moral;Noite;Esplanada Agatha Pimenta, 602;CE;Ana Liz Borges;0;Nao-Binario;Bissexual;Pardo;Ensino Superior Incompleto;Masculino
67;Agressao;67;Fisica;Madrugada;Vila de Teixeira, 492;PA;João Guilherme Abreu;nan;Mulher Cisgenero;Heterossexual;Negro;Ensino Superior Incompleto;Feminino
68;Assedio;68;Moral;Noite;Estação Maya Monteiro, 377;AP;Dra. Jade da Rosa;7;Mulher Transgenero;Pansexual;Negro;Ensino Fundamental Completo;Feminino
69;Assedio;69;Moral;Manha;Favela Vitor Gabriel Moreira, 446;XX;Benicio Peixoto;60;Mulher Cisgenero;Pansexual;Pardo;Ensino Fundamental Completo;Feminino
70;Invalido;70;Psicologica;Manha;Estrada Cavalcante, 871;DF;José Pedro Sá;28;Mulher Transgenero;Bissexual;Indigena;Ensino Superior Completo;Feminino
71;;71;Patrimonial;Noite;;;;59;;;;;
72;Discriminacao;72;Sexual;Tarde;Aeroporto Giovanna Lopes, 939;XX;Dra. Maria Eduarda Pastor;65;Mulher Cisgenero;Pansexual;Pardo;Ensino Fundamental Completo;Masculino
73;Invalido;73;Sexual;Tarde;Pátio Santos, 846;SP;Luiza Camargo;74;Nao-Binario;Assexual;Negro;Ensino Superior Incompleto;Feminino
74;Agressao;74;Sexual;Manha;Conjunto de Garcia, 430;PE;Nina Vargas;88;Mulher Cisgenero;Pansexual;Amarelo;Ensino Superior Completo;Feminino
75;Discriminacao;75;Patrimonial;Tarde;Jardim Otávio Lopes, 287;AP;Ana Clara Costela;169;Homem Cisgenero;Pansexual;Pardo;Ensino Fundamental Completo;Feminino
76;Invalido;76;Sexual;Madrugada;Lagoa Melissa Aparecida, 576;PE;Davi Lucas Gomes;37;Nao-Binario;Homossexual;Indigena;Ensino Medio Incompleto;Feminino
77;Outros;77;Sexual;Tarde;Esplanada Maria Sophia Brito, 215;SP;Fernanda Leão;nan;Mulher Transgenero;Bissexual;Amarelo;Ensino Medio Incompleto;Masculino
78;Invalido;78;Patrimonial;Noite;Chácara de Ribeiro, 394;AP;Maria Cecília Brito;55;Mulher Cisgenero;Assexual;Branco;Ensino Superior Completo;Masculino
79;Invalido;79;Fisica;Noite;Feira de Viana, 617;AM;Alexia Lopes;41;Mulher Transgenero;Heterossexual;Amarelo;Ensino Medio Completo;Feminino
80;Discriminacao;80;Psicologica;Manha;Esplanada de Costa, 365;AM;João Lucas Nunes;89;Nao-Binario;Heterossexual;Pardo;Ensino Fundamental Completo;Feminino
81;Invalido;81;Psicologica;Tarde;Recanto de Silveira, 617;RS;Lara Teixeira;0;Mulher Cisgenero;Heterossexual;Branco;Pos-graduacao;Masculino
82;Violencia Domestica;82;Moral;Madrugada;Esplanada Andrade, 949;RO;Hadassa Mendes;37;Homem Transgenero;Heterossexual;Amarelo;Ensino Superior Completo;Masculino
83;Outros;83;Moral;Tarde;Chácara de Costela, 229;RJ;Maria Eduarda Azevedo;180;Homem Transgenero;Homossexual;Negro;Ensino Medio Completo;Feminino
84;;84;Patrimonial;Madrugada;;;;76;;;;;
85;Invalido;85;Patrimonial;Tarde;Loteamento de Lopes, 162;RR;Yago Sá;26;Homem Cisgenero;Heterossexual;Negro;Ensino Superior Incompleto;Masculino
86;Outros;86;Moral;Tarde;Travessa de Araújo, 702;XX;Lorenzo Souza;81;Homem Cisgenero;Bissexual;Branco;Pos-graduacao;Masculino
87;Invalido;87;Moral;Madrugada;Vale de Santos, 31;RR;Dra. Sabrina Sousa;68;Homem Cisgenero;Pansexual;Indigena;Ensino Superior Completo;Feminino
88;Assedio;88;Moral;Tarde;Vila Siqueira, 779;ES;Fernando Cavalcanti;110;Nao-Binario;Homossexual;Amarelo;Ensino Fundamental Completo;Feminino
89;Invalido;89;Patrimonial;Noite;Viela Moreira, 121;MG;Marcelo Moreira;7;Mulher Cisgenero;Assexual;Negro;Ensino Medio Completo;Feminino
90;Discriminacao;90;Moral;Manha;Residencial Olivia Almeida, 525;AL;Lavínia Lima;177;Homem Cisgenero;Assexual;Negro;Ensino Superior Incompleto;Feminino
91;Invalido;91;Psicologica;Tarde;Fazenda de Sales, 318;RR;Ana Vitória Rios;13;Mulher Cisgenero;Pansexual;Negro;Ensino Fundamental Incompleto;Masculino
92;Assedio;92;Psicologica;Manha;Ladeira de da Costa, 809;XX;Alícia Pastor;19;Mulher Transgenero;Heterossexual;Amarelo;Ensino Fundamental Completo;Masculino
93;Discriminacao;93;Fisica;Manha;Vila Cavalcante, 416;RN;Pietro Leão;nan;Homem Cisgenero;Heterossexual;Branco;Ensino Medio Completo;Feminino
94;;94;Psicologica;Noite;;;;14;;;;;
95;Discriminacao;95;Psicologica;Manha;Lago Cassiano, 372;XX;Zoe Pacheco;38;Homem Transgenero;Bissexual;Pardo;Ensino Superior Completo;Feminino
96;;96;Psicologica;Noite;;;;85;;;;;
97;Violencia Domestica;97;Sexual;Manha;Avenida Moreira, 656;PI;Giovanna Cirino;nan;Nao-Binario;Pansexual;Indigena;Pos-graduacao;Masculino
98;Invalido;98;Sexual;Madrugada;Avenida Kamilly Pacheco, 13;TO;Sabrina Barros;43;Mulher Cisgenero;Assexual;Branco;Ensino Fundamental Incompleto;Feminino
99;Discriminacao;99;Fisica;Noite;Via Théo da Paz, 44;RR;Clarice Costela;172;Nao-Binario;Heterossexual;Amarelo;Ensino Fundamental Completo;Feminino
100;Discriminacao;100;Psicologica;Madrugada;Trevo da Rocha, 997;XX;Alícia Cavalcante;18;Homem Cisgenero;Bissexual;Branco;Pos-graduacao;Masculino
101;Discriminacao;101;Patrimonial;Manha;Travessa Heitor Rodrigues, 182;PA;Yago Sá;99;Mulher Cisgenero;Pansexual;Negro;Ensino Medio Incompleto;Feminino
102;;102;Patrimonial;Manha;;;;45;;;;;
103;Invalido;103;Psicologica;Noite;Passarela de Pereira, 272;MS;Gabriela da Costa;39;Mulher Cisgenero;Pansexual;Negro;Ensino Fundamental Completo;Feminino
104;Agressao;104;Sexual;Manha;Colônia Costa, 219;GO;Dr. Theodoro Viana;56;Mulher Transgenero;Bissexual;Negro;Ensino Medio Completo;Feminino
105;Invalido;105;Sexual;Tarde;Largo das Neves, 701;AC;Liz Cunha;85;Homem Cisgenero;Bissexual;Branco;Ensino Superior Completo;Feminino
106;Discriminacao;106;Sexual;Madrugada;Sítio Marques, 913;AM;Maria Luísa Silva;93;Nao-Binario;Heterossexual;Amarelo;Ensino Superior Completo;Feminino
107;Discriminacao;107;Sexual;Madrugada;Esplanada Siqueira, 936;AP;Ana Júlia das Neves;nan;Nao-Binario;Heterossexual;Negro;Pos-graduacao;Masculino
108;Outros;108;Sexual;Manha;Quadra de Silva, 493;PI;Maitê Moura;140;Mulher Cisgenero;Assexual;Negro;Ensino Fundamental Completo;Feminino
109;Invalido;109;Patrimonial;Manha;Vale de Camargo, 878;GO;Henry Rios;54;Mulher Transgenero;Assexual;Branco;Ensino Medio Completo;Masculino
110;Discriminacao;110;Fisica;Noite;Colônia Aragão, 67;SC;José Miguel Aragão;75;Mulher Cisgenero;Heterossexual;Pardo;Ensino Medio Completo;Feminino
111;Outros;111;Moral;Noite;Fazenda Rodrigues, 423;AM;Maria Isis Costa;nan;Homem Cisgenero;Pansexual;Pardo;Ensino Superior Incompleto;Feminino
112;;112;Fisica;Tarde;;;;38;;;;;
113;Assedio;113;Patrimonial;Madrugada;Condomínio da Mata, 490;PA;Breno da Costa;nan;Nao-Binario;Homossexual;Amarelo;Ensino Medio Incompleto;Masculino
114;Invalido;114;Patrimonial;Noite;Estrada de Albuquerque, 854;BA;Caio Farias;99;Nao-Binario;Assexual;Indigena;Ensino Fundamental Incompleto;Feminino
115;Assedio;115;Psicologica;Tarde;Alameda Nogueira, 549;MS;João Miguel Pimenta;21;Homem Cisgenero;Homossexual;Branco;Ensino Superior Incompleto;Feminino
116;Invalido;116;Fisica;Manha;Trevo de da Rocha, 816;CE;Dr. Ian Mendes;25;Nao-Binario;Homossexual;Negro;Ensino Medio Completo;Masculino
117;;117;Sexual;Manha;;;;19;;;;;
118;Violencia Domestica;118;Patrimonial;Tarde;Viaduto de Novaes, 744;XX;Ian Gomes;38;Mulher Cisgenero;Pansexual;Indigena;Ensino Superior Incompleto;Feminino
119;Outros;119;Moral;Madrugada;Vereda João Pedro Montenegro, 622;GO;Alexia Lima;nan;Homem Cisgenero;Homossexual;Branco;Ensino Fundamental Incompleto;Masculino
120;Invalido;120;Moral;Tarde;Vale Aylla Ramos, 31;MS;Melina Almeida;25;Mulher Transgenero;Pansexual;Branco;Ensino Medio Completo;Feminino
121;Assedio;121;Patrimonial;Noite;Distrito de da Paz, 124;DF;Juan Fogaça;70;Homem Transgenero;Homossexual;Branco;Pos-graduacao;Feminino
122;Agressao;122;Psicologica;Tarde;Largo de Barros, 839;AC;Srta. Kamilly Barros;84;Homem Transgenero;Bissexual;Amarelo;Ensino Superior Completo;Masculino
123;;123;Sexual;Noite;;;;96;;;;;
124;;124;Psicologica;Manha;;;;108;;;;;
125;;125;Patrimonial;Manha;;;;64;;;;;
126;Discriminacao;126;Sexual;Manha;Alameda Moraes, 562;RN;Antonella Albuquerque;nan;Mulher Transgenero;Assexual;Amarelo;Pos-graduacao;Masculino
127;Invalido;127;Sexual;Noite;Pátio de Campos, 531;TO;Ana Júlia Nogueira;1;Homem Transgenero;Heterossexual;Branco;Pos-graduacao;Masculino
128;;128;Patrimonial;Madrugada;;;;49;;;;;
129;Discriminacao;129;Patrimonial;Tarde;Alameda Yago Lopes, 340;XX;Alexia Montenegro;91;Mulher Cisgenero;Bissexual;Indigena;Ensino Medio Incompleto;Feminino
130;Violencia Domestica;130;Sexual;Noite;Rodovia Benicio Sá, 351;AC;Sara Lopes;166;Mulher Cisgenero;Heterossexual;Pardo;Ensino Superior Completo;Masculino
131;Discriminacao;131;Patrimonial;Tarde;Lagoa de Cirino, 627;XX;Pietra Fernandes;32;Nao-Binario;Heterossexual;Pardo;Ensino Superior Completo;Masculino
132;Assedio;132;Patrimonial;Tarde;Morro de Cavalcanti, 939;XX;Alexandre Correia;90;Nao-Binario;Pansexual;Indigena;Ensino Fundamental Completo;Feminino
133;Assedio;133;Moral;Tarde;Travessa Cavalcanti, 671;XX;Dra. Caroline Gomes;99;Homem Cisgenero;Homossexual;Pardo;Ensino Medio Completo;Feminino
134;Assedio;134;Sexual;Noite;Trecho de Fernandes, 618;RS;Luiz Otávio da Cunha;64;Homem Cisgenero;Bissexual;Negro;Ensino Fundamental Completo;Feminino
135;Assedio;135;Sexual;Manha;Viela Gonçalves, 233;SC;Liz Andrade;nan;Homem Transgenero;Pansexual;Negro;Ensino Fundamental Incompleto;Feminino
136;Agressao;136;Moral;Noite;Campo de Sousa, 819;XX;Ana Cecília Cunha;8;Mulher Cisgenero;Heterossexual;Negro;Ensino Medio Incompleto;Feminino
137;Outros;137;Patrimonial;Madrugada;Trevo de Aparecida, 991;MT;Daniel Rios;94;Mulher Cisgenero;Homossexual;Amarelo;Ensino Fundamental Completo;Masculino
138;Invalido;138;Patrimonial;Madrugada;Fazenda de Caldeira, 188;AM;Dr. Thiago Marques;106;Mulher Transgenero;Heterossexual;Negro;Pos-graduacao;Masculino
139;;139;Psicologica;Madrugada;;;;97;;;;;
140;;140;Sexual;Tarde;;;;32;;;;;
141;Violencia Domestica;141;Moral;Madrugada;Distrito de Alves, 968;BA;Diogo Souza;82;Homem Transgenero;Homossexual;Amarelo;Ensino Superior Incompleto;Feminino
142;Discriminacao;142;Moral;Tarde;Travessa da Rocha, 260;BA;Breno Martins;43;Mulher Transgenero;Bissexual;Negro;Ensino Superior Completo;Masculino
143;Invalido;143;Patrimonial;Madrugada;Vila Brenda Moreira, 355;PR;Liz Alves;27;Homem Cisgenero;Homossexual;Pardo;Ensino Medio Incompleto;Feminino
144;;144;Fisica;Noite;;;;32;;;;;
145;Agressao;145;Sexual;Manha;Aeroporto Marcela Barbosa, 462;BA;Sra. Elisa Ferreira;164;Homem Transgenero;Heterossexual;Negro;Ensino Fundamental Completo;Feminino
146;Outros;146;Sexual;Noite;Praça Arthur Gabriel Ramos, 870;XX;Olívia Martins;23;Nao-Binario;Assexual;Indigena;Ensino Medio Incompleto;Masculino
147;Agressao;147;Patrimonial;Madrugada;Vale Camargo, 833;PA;Zoe da Rocha;nan;Homem Transgenero;Homossexual;Branco;Ensino Superior Incompleto;Masculino
148;Invalido;148;Psicologica;Manha;Travessa Duarte, 44;RO;Benjamim Farias;29;Mulher Transgenero;Pansexual;Negro;Ensino Fundamental Completo;Masculino
149;;149;Fisica;Manha;;;;27;;;;;
150;Invalido;150;Fisica;Noite;Avenida Fogaça, 574;RR;Murilo Sá;31;Mulher Transgenero;Bissexual;Pardo;Ensino Superior Completo;Masculino
151;Outros;151;Fisica;Tarde;Residencial Laura Araújo, 425;BA;Benicio da Cunha;138;Homem Cisgenero;Bissexual;Pardo;Pos-graduacao;Feminino
152;Agressao;152;Fisica;Noite;Rua João Miguel Pinto, 355;MT;Vitor Hugo da Mata;157;Nao-Binario;Bissexual;Amarelo;Ensino Medio Incompleto;Masculino
153;Violencia Domestica;153;Psicologica;Madrugada;Estação Campos, 531;DF;Aurora Silveira;nan;Mulher Cisgenero;Heterossexual;Pardo;Ensino Fundamental Incompleto;Feminino
154;Invalido;154;Patrimonial;Tarde;Esplanada Larissa Rios, 2;SC;Maria Laura Silva;67;Homem Cisgenero;Homossexual;Pardo;Ensino Fundamental Completo;Feminino
155;Invalido;155;Patrimonial;Madrugada;Recanto Sampaio, 838;SP;Theodoro Teixeira;41;Nao-Binario;Assexual;Indigena;Ensino Medio Completo;Feminino
156;Invalido;156;Moral;Tarde;Vila Bianca Alves, 683;AC;Luara Cardoso;91;Homem Transgenero;Assexual;Amarelo;Ensino Fundamental Incompleto;Feminino
157;Violencia Domestica;157;Patrimonial;Noite;Avenida de Camargo, 862;PI;Bento Guerra;186;Mulher Transgenero;Pansexual;Branco;Ensino Superior Completo;Feminino
158;Violencia Domestica;158;Moral;Manha;Via Maria Helena Cunha, 477;XX;Joaquim Moura;100;Nao-Binario;Homossexual;Amarelo;Ensino Superior Completo;Masculino
159;Outros;159;Moral;Tarde;Núcleo Lunna Rezende, 934;AM;Danilo Araújo;53;Nao-Binario;Heterossexual;Amarelo;Ensino Superior Incompleto;Masculino
160;Discriminacao;160;Moral;Tarde;Viaduto Ana Lívia Cardoso, 604;XX;Lara Alves;90;Homem Cisgenero;Heterossexual;Negro;Ensino Superior Incompleto;Masculino
161;;161;Fisica;Madrugada;;;;62;;;;;
162;Agressao;162;Moral;Tarde;Vereda André Fonseca, 653;ES;Theodoro Cavalcanti;164;Mulher Cisgenero;Homossexual;Negro;Pos-graduacao;Feminino
163;Discriminacao;163;Moral;Manha;Trevo de Albuquerque, 476;XX;Apollo Cassiano;13;Mulher Cisgenero;Bissexual;Amarelo;Pos-graduacao;Feminino
164;Assedio;164;Psicologica;Tarde;Ladeira Hellena Aparecida, 759;MS;Dra. Manuella Vargas;24;Homem Transgenero;Pansexual;Pardo;Ensino Superior Completo;Feminino
165;Agressao;165;Psicologica;Noite;Chácara Benício da Cunha, 21;PI;Hadassa da Rocha;nan;Homem Transgenero;Homossexual;Pardo;Ensino Medio Completo;Feminino
166;;166;Fisica;Madrugada;;;;29;;;;;
167;;167;Psicologica;Madrugada;;;;17;;;;;
168;Assedio;168;Sexual;Madrugada;Parque da Rosa, 929;XX;Ana Cecília Ramos;33;Mulher Cisgenero;Heterossexual;Amarelo;Ensino Fundamental Completo;Masculino
169;Invalido;169;Fisica;Tarde;Estrada Sousa, 747;SC;Rafaela Dias;64;Nao-Binario;Heterossexual;Amarelo;Ensino Superior Completo;Masculino
170;Invalido;170;Sexual;Noite;Travessa de Moura, 592;AL;Marcos Vinicius Fernandes;17;Mulher Transgenero;Bissexual;Indigena;Pos-graduacao;Feminino
171;Outros;171;Fisica;Manha;Alameda da Paz, 239;PE;João Vitor Rezende;140;Mulher Transgenero;Homossexual;Amarelo;Ensino Fundamental Completo;Feminino
172;Outros;172;Moral;Manha;Condomínio de Macedo, 26;DF;Dr. Ian Almeida;39;Mulher Transgenero;Bissexual;Amarelo;Ensino Superior Incompleto;Masculino
173;Invalido;173;Psicologica;Noite;Feira Hellena Dias, 76;SE;Bianca da Rosa;88;Homem Cisgenero;Heterossexual;Pardo;Ensino Superior Incompleto;Feminino
174;Invalido;174;Sexual;Noite;Via Lavínia Moura, 567;RJ;Ana Liz Abreu;99;Mulher Cisgenero;Homossexual;Branco;Ensino Fundamental Completo;Masculino
175;;175;Fisica;Manha;;;;68;;;;;
176;Discriminacao;176;Psicologica;Manha;Favela Enrico Cavalcanti, 256;GO;Maitê Fonseca;nan;Mulher Transgenero;Bissexual;Indigena;Ensino Medio Incompleto;Feminino
177;Assedio;177;Moral;Tarde;Setor Vasconcelos, 164;XX;Ana Lívia Araújo;106;Mulher Transgenero;Bissexual;Amarelo;Ensino Fundamental Incompleto;Masculino
178;;178;Sexual;Tarde;;;;103;;;;;
179;Outros;179;Fisica;Noite;Estação Campos, 613;BA;Maria Luiza Viana;64;Homem Transgenero;Homossexual;Indigena;Ensino Superior Incompleto;Feminino
180;;180;Moral;Madrugada;;;;65;;;;;
181;Invalido;181;Psicologica;Noite;Morro Vargas, 811;MT;Ana da Mota;0;Mulher Cisgenero;Bissexual;Negro;Ensino Medio Incompleto;Feminino
182;;182;Fisica;Noite;;;;87;;;;;
183;;183;Fisica;Tarde;;;;110;;;;;
184;Assedio;184;Psicologica;Tarde;Chácara de da Paz, 798;DF;Luigi Vasconcelos;194;Homem Transgenero;Heterossexual;Amarelo;Ensino Fundamental Completo;Feminino
