"ID";"TipoDenuncia";"IDViolencia";"TipoViolencia";"PeriodoDia";"Endereco";"Estado";"Nome";"Idade";"IdentidadeGenero";"OrientacaoSexual";"Etnia";"Escolaridade";"GeneroBiologico"
40;"outros";40;"patrimonial";"madrugada";"loteamento de caldeira, 269";"am";"rhavi costela";55;"mulher transgenero";"heterossexual";"pardo";"pos-graduacao";"masculino"
41;"agressao";41;"patrimonial";"noite";"lago jesus, 97";"rr";"marcela fonseca";73;"homem transgenero";"bissexual";"indigena";"ensino superior completo";"feminino"
42;"assedio";42;"patrimonial";"madrugada";"residencial thiago da luz, 647";"ba";"nicole nogueira";69;"mulher transgenero";"pansexual";"pardo";"ensino medio incompleto";"masculino"
44;"assedio";44;"patrimonial";"noite";"feira de fogaca, 771";"pi";"gael henrique abreu";55;"homem transgenero";"bissexual";"indigena";"ensino fundamental completo";"feminino"
45;"agressao";45;"psicologica";"madrugada";"jardim yago barbosa, 986";"sc";"mathias peixoto";55;"homem transgenero";"heterossexual";"pardo";"ensino fundamental incompleto";"feminino"
49;"agressao";49;"psicologica";"madrugada";"favela de marques, 57";"es";"vitoria almeida";74;"homem transgenero";"homossexual";"amarelo";"ensino medio completo";"feminino"
50;"assedio";50;"psicologica";"tarde";"quadra ana laura aparecida, 112";"am";"bella cunha";31;"mulher transgenero";"heterossexual";"pardo";"ensino fundamental incompleto";"masculino"
53;"violencia domestica";53;"psicologica";"tarde";"alameda de leao, 728";"am";"ian vargas";88;"nao-binario";"heterossexual";"amarelo";"ensino superior completo";"masculino"
57;"violencia domestica";57;"psicologica";"madrugada";"condominio de nunes, 883";"rn";"carolina da paz";79;"homem cisgenero";"bissexual";"indigena";"ensino medio completo";"masculino"
59;"agressao";59;"sexual";"madrugada";"campo da conceicao, 607";"pr";"catarina nogueira";84;"homem transgenero";"assexual";"branco";"ensino superior completo";"feminino"
61;"violencia domestica";61;"patrimonial";"noite";"lago de machado, 934";"go";"heloisa moura";55;"homem cisgenero";"heterossexual";"negro";"ensino fundamental incompleto";"masculino"
62;"discriminacao";62;"patrimonial";"tarde";"aeroporto de porto, 185";"ro";"valentim marques";83;"mulher transgenero";"pansexual";"pardo";"ensino medio completo";"masculino"
64;"discriminacao";64;"fisica";"madrugada";"sitio da paz, 240";"rn";"alexandre albuquerque";91;"homem transgenero";"pansexual";"amarelo";"ensino medio completo";"feminino"
69;"outros";69;"sexual";"noite";"residencial da cruz, 366";"am";"leo montenegro";33;"homem transgenero";"bissexual";"amarelo";"ensino superior incompleto";"feminino"
71;"discriminacao";71;"moral";"manha";"avenida olivia das neves, 324";"rr";"matheus andrade";55;"mulher cisgenero";"pansexual";"amarelo";"ensino superior completo";"feminino"
77;"assedio";77;"psicologica";"manha";"feira cavalcante, 797";"df";"alice machado";83;"nao-binario";"homossexual";"branco";"ensino superior incompleto";"masculino"
79;"assedio";79;"sexual";"tarde";"colonia sampaio, 314";"mg";"zoe farias";58;"homem transgenero";"assexual";"amarelo";"ensino superior incompleto";"feminino"
82;"assedio";82;"moral";"manha";"quadra valentina pacheco, 117";"rs";"luiza moura";55;"nao-binario";"pansexual";"amarelo";"ensino superior completo";"feminino"
83;"assedio";83;"psicologica";"noite";"nucleo moreira, 847";"ms";"theo cunha";55;"homem cisgenero";"heterossexual";"negro";"ensino superior completo";"masculino"
85;"assedio";85;"patrimonial";"manha";"vale carolina das neves, 125";"mg";"evelyn duarte";59;"mulher transgenero";"assexual";"negro";"ensino medio incompleto";"masculino"
86;"violencia domestica";86;"moral";"madrugada";"conjunto de sampaio, 299";"rs";"vicente silveira";21;"mulher cisgenero";"bissexual";"amarelo";"ensino fundamental incompleto";"feminino"
88;"violencia domestica";88;"fisica";"manha";"quadra cavalcante, 501";"am";"alexandre nogueira";13;"homem transgenero";"homossexual";"indigena";"ensino fundamental incompleto";"feminino"
89;"violencia domestica";89;"fisica";"madrugada";"vale de rios, 668";"se";"eloa cavalcanti";87;"mulher cisgenero";"assexual";"indigena";"ensino fundamental incompleto";"feminino"
90;"discriminacao";90;"fisica";"madrugada";"morro samuel melo, 465";"pb";"caroline nascimento";59;"homem transgenero";"heterossexual";"indigena";"ensino fundamental completo";"feminino"
94;"agressao";94;"moral";"tarde";"avenida yuri mendes, 159";"pb";"cecilia caldeira";53;"mulher cisgenero";"heterossexual";"indigena";"ensino fundamental incompleto";"feminino"
95;"violencia domestica";95;"patrimonial";"noite";"estacao de rezende, 624";"rs";"raquel fogaca";64;"nao-binario";"bissexual";"pardo";"ensino superior completo";"feminino"
96;"assedio";96;"moral";"noite";"residencial de mendes, 742";"rr";"bernardo peixoto";41;"homem cisgenero";"assexual";"negro";"ensino superior completo";"masculino"
99;"agressao";99;"patrimonial";"noite";"viaduto mariana cirino, 544";"sp";"raul alves";51;"mulher cisgenero";"heterossexual";"indigena";"ensino fundamental incompleto";"feminino"
100;"discriminacao";100;"psicologica";"tarde";"chacara de andrade, 46";"ms";"joaquim camara";28;"nao-binario";"pansexual";"branco";"ensino medio incompleto";"masculino"
101;"agressao";101;"fisica";"madrugada";"condominio manuela almeida, 482";"rj";"felipe moura";97;"mulher transgenero";"bissexual";"pardo";"ensino fundamental incompleto";"masculino"
105;"discriminacao";105;"fisica";"manha";"trevo de rocha, 564";"rr";"matteo camargo";55;"homem cisgenero";"heterossexual";"branco";"pos-graduacao";"masculino"
106;"discriminacao";106;"fisica";"tarde";"trevo isabella da cunha, 175";"pi";"bianca cunha";52;"homem transgenero";"bissexual";"negro";"ensino medio completo";"feminino"
108;"outros";108;"psicologica";"noite";"colonia de cavalcante, 805";"es";"hellena barros";25;"mulher transgenero";"heterossexual";"branco";"pos-graduacao";"masculino"
109;"violencia domestica";109;"moral";"tarde";"sitio moura, 850";"rn";"nathan siqueira";55;"homem cisgenero";"bissexual";"branco";"ensino fundamental completo";"masculino"
110;"outros";110;"psicologica";"noite";"alameda campos, 543";"mt";"mathias macedo";45;"nao-binario";"homossexual";"pardo";"ensino fundamental completo";"feminino"
112;"outros";112;"fisica";"noite";"nucleo pinto, 165";"rs";"alicia teixeira";97;"homem transgenero";"bissexual";"branco";"ensino fundamental incompleto";"feminino"
115;"assedio";115;"patrimonial";"manha";"praia andrade, 630";"ma";"olivia cunha";19;"homem cisgenero";"assexual";"pardo";"ensino medio incompleto";"masculino"
118;"assedio";118;"psicologica";"tarde";"colonia montenegro, 117";"go";"levi andrade";82;"homem cisgenero";"heterossexual";"amarelo";"ensino fundamental completo";"masculino"
119;"assedio";119;"fisica";"noite";"residencial lorenzo novaes, 221";"ma";"brenda das neves";55;"nao-binario";"assexual";"negro";"ensino superior incompleto";"feminino"
125;"agressao";125;"fisica";"tarde";"vereda alves, 933";"pb";"lara da paz";29;"nao-binario";"heterossexual";"negro";"ensino superior completo";"feminino"
127;"discriminacao";127;"moral";"tarde";"passarela de martins, 313";"sp";"joao lucas albuquerque";55;"nao-binario";"bissexual";"amarelo";"ensino medio incompleto";"feminino"
131;"assedio";131;"sexual";"tarde";"area beatriz moura, 861";"to";"leticia souza";63;"homem transgenero";"pansexual";"indigena";"ensino superior incompleto";"feminino"
132;"discriminacao";132;"patrimonial";"tarde";"largo caldeira, 5";"pe";"cecilia barbosa";37;"mulher cisgenero";"heterossexual";"amarelo";"ensino superior incompleto";"feminino"
133;"discriminacao";133;"fisica";"manha";"colonia nunes, 228";"am";"manuella moraes";51;"nao-binario";"heterossexual";"pardo";"ensino superior completo";"masculino"
136;"discriminacao";136;"fisica";"manha";"lagoa barbosa, 820";"mt";"francisco lima";44;"homem transgenero";"assexual";"indigena";"ensino fundamental completo";"feminino"
137;"assedio";137;"sexual";"madrugada";"ladeira da costa, 121";"ro";"gustavo henrique silveira";55;"homem cisgenero";"heterossexual";"indigena";"ensino superior completo";"masculino"
140;"discriminacao";140;"patrimonial";"manha";"lago sophie mendes, 969";"es";"benjamin teixeira";82;"nao-binario";"homossexual";"pardo";"ensino superior completo";"feminino"
141;"outros";141;"fisica";"tarde";"setor brito, 785";"sc";"davi lucca rodrigues";49;"mulher transgenero";"pansexual";"indigena";"ensino medio completo";"masculino"
142;"outros";142;"patrimonial";"noite";"viaduto de da mota, 696";"ce";"larissa oliveira";55;"homem cisgenero";"heterossexual";"indigena";"ensino superior completo";"masculino"
144;"violencia domestica";144;"patrimonial";"madrugada";"estacao da luz, 108";"ro";"stephany almeida";64;"mulher cisgenero";"bissexual";"pardo";"ensino fundamental completo";"feminino"
145;"assedio";145;"patrimonial";"tarde";"trevo joao miguel carvalho, 388";"am";"lorenzo goncalves";83;"homem transgenero";"bissexual";"negro";"ensino fundamental incompleto";"feminino"
146;"agressao";146;"psicologica";"manha";"avenida de azevedo, 956";"am";"dom campos";66;"nao-binario";"pansexual";"branco";"ensino medio completo";"feminino"
147;"discriminacao";147;"moral";"manha";"vila de nunes, 210";"rs";"benicio azevedo";94;"nao-binario";"pansexual";"amarelo";"ensino medio completo";"masculino"
148;"outros";148;"fisica";"manha";"residencial de siqueira, 683";"se";"juan sales";83;"mulher transgenero";"bissexual";"indigena";"ensino superior completo";"masculino"
155;"outros";155;"moral";"noite";"estacao de barros, 151";"ac";"allana leao";70;"homem cisgenero";"heterossexual";"branco";"pos-graduacao";"masculino"
157;"outros";157;"fisica";"tarde";"sitio camara, 651";"am";"henry gabriel alves";55;"mulher transgenero";"homossexual";"negro";"ensino superior incompleto";"masculino"
161;"agressao";161;"psicologica";"noite";"loteamento de da rocha, 819";"es";"arthur miguel da paz";55;"mulher transgenero";"assexual";"amarelo";"ensino superior completo";"masculino"
162;"discriminacao";162;"psicologica";"manha";"condominio ana sophia sampaio, 265";"rn";"sara montenegro";55;"homem transgenero";"homossexual";"pardo";"ensino medio incompleto";"feminino"
164;"assedio";164;"psicologica";"manha";"campo joaquim rios, 93";"go";"mirella ribeiro";89;"homem transgenero";"bissexual";"amarelo";"ensino fundamental incompleto";"feminino"
165;"violencia domestica";165;"psicologica";"tarde";"praia moraes, 782";"ac";"beatriz leao";65;"mulher cisgenero";"assexual";"indigena";"ensino fundamental incompleto";"feminino"
166;"violencia domestica";166;"moral";"tarde";"quadra guerra, 607";"ce";"matteo costa";42;"homem transgenero";"homossexual";"branco";"ensino fundamental completo";"feminino"
167;"discriminacao";167;"patrimonial";"madrugada";"vale de ramos, 76";"sc";"cecilia peixoto";28;"homem cisgenero";"assexual";"negro";"ensino medio completo";"masculino"
168;"assedio";168;"moral";"manha";"viaduto de cassiano, 295";"ce";"ana vitoria pires";81;"mulher cisgenero";"bissexual";"indigena";"pos-graduacao";"feminino"
171;"outros";171;"sexual";"madrugada";"lagoa ana julia teixeira, 951";"pi";"arthur miguel viana";90;"nao-binario";"assexual";"pardo";"ensino medio incompleto";"masculino"
173;"assedio";173;"fisica";"madrugada";"travessa alexandre siqueira, 750";"pb";"maria liz almeida";25;"homem transgenero";"heterossexual";"negro";"ensino medio completo";"feminino"
174;"discriminacao";174;"patrimonial";"tarde";"viela de vargas, 692";"rn";"cecilia cunha";46;"homem transgenero";"pansexual";"branco";"ensino fundamental incompleto";"feminino"
175;"discriminacao";175;"patrimonial";"noite";"sitio ramos, 884";"go";"daniel da rosa";63;"homem cisgenero";"heterossexual";"negro";"ensino fundamental completo";"masculino"
177;"assedio";177;"patrimonial";"madrugada";"ladeira yuri monteiro, 569";"rj";"hadassa caldeira";46;"homem cisgenero";"assexual";"indigena";"ensino medio completo";"masculino"
180;"violencia domestica";180;"moral";"madrugada";"residencial de cardoso, 175";"go";"joao felipe camargo";70;"homem cisgenero";"homossexual";"amarelo";"ensino fundamental completo";"masculino"
185;"violencia domestica";185;"fisica";"madrugada";"via melissa freitas, 845";"am";"alexandre oliveira";55;"mulher cisgenero";"homossexual";"branco";"ensino fundamental completo";"feminino"
191;"agressao";191;"psicologica";"manha";"passarela de guerra, 364";"ap";"agatha novaes";55;"nao-binario";"heterossexual";"indigena";"ensino fundamental incompleto";"masculino"
192;"violencia domestica";192;"fisica";"manha";"aeroporto cavalcanti, 799";"ce";"joao guilherme sa";93;"homem cisgenero";"homossexual";"indigena";"ensino fundamental incompleto";"masculino"
193;"assedio";193;"psicologica";"noite";"fazenda samuel barbosa, 993";"pa";"thiago cirino";66;"homem transgenero";"heterossexual";"negro";"ensino fundamental incompleto";"feminino"
197;"agressao";197;"fisica";"tarde";"area rebeca rezende, 323";"pe";"nina gomes";72;"homem transgenero";"heterossexual";"amarelo";"ensino medio completo";"feminino"
204;"assedio";204;"fisica";"manha";"vereda de melo, 741";"pi";"maria cecilia novais";55;"nao-binario";"heterossexual";"pardo";"ensino medio incompleto";"feminino"
209;"violencia domestica";209;"patrimonial";"noite";"praca ana beatriz cavalcante, 619";"al";"raul viana";41;"nao-binario";"pansexual";"branco";"pos-graduacao";"masculino"
210;"outros";210;"sexual";"noite";"praia alves, 874";"sc";"ana julia castro";47;"homem transgenero";"homossexual";"indigena";"ensino medio incompleto";"feminino"
211;"discriminacao";211;"patrimonial";"manha";"chacara isis camara, 70";"mt";"maria flor andrade";55;"homem cisgenero";"homossexual";"pardo";"pos-graduacao";"masculino"
214;"agressao";214;"moral";"tarde";"colonia de siqueira, 200";"al";"antonella da costa";39;"mulher transgenero";"heterossexual";"pardo";"ensino fundamental incompleto";"masculino"
219;"discriminacao";219;"fisica";"manha";"trevo marcos vinicius novais, 486";"sc";"andre machado";18;"homem transgenero";"heterossexual";"indigena";"pos-graduacao";"feminino"
222;"discriminacao";222;"moral";"madrugada";"vila de almeida, 965";"pb";"rhavi nogueira";16;"homem cisgenero";"heterossexual";"indigena";"pos-graduacao";"masculino"
223;"violencia domestica";223;"sexual";"manha";"nucleo diogo da paz, 861";"sc";"luan albuquerque";55;"mulher transgenero";"assexual";"branco";"pos-graduacao";"masculino"
224;"discriminacao";224;"sexual";"manha";"avenida davi lucca freitas, 199";"rr";"emilly santos";76;"homem transgenero";"heterossexual";"indigena";"ensino fundamental completo";"feminino"
227;"assedio";227;"fisica";"tarde";"esplanada erick costa, 950";"sp";"jose miguel viana";99;"homem cisgenero";"assexual";"branco";"ensino fundamental completo";"masculino"
229;"outros";229;"psicologica";"tarde";"condominio sophie ramos, 100";"pr";"joao vitor vieira";12;"mulher transgenero";"homossexual";"pardo";"ensino fundamental incompleto";"masculino"
232;"discriminacao";232;"moral";"manha";"vereda julia andrade, 701";"rn";"nicolas porto";15;"homem cisgenero";"bissexual";"branco";"ensino medio incompleto";"masculino"
234;"violencia domestica";234;"psicologica";"manha";"conjunto de goncalves, 354";"pa";"melissa andrade";90;"nao-binario";"pansexual";"branco";"ensino superior incompleto";"masculino"
235;"agressao";235;"psicologica";"noite";"vale de machado, 226";"rr";"erick montenegro";33;"nao-binario";"homossexual";"indigena";"ensino medio incompleto";"feminino"
237;"outros";237;"psicologica";"madrugada";"trecho de da cruz, 308";"rn";"daniela souza";33;"mulher transgenero";"homossexual";"pardo";"ensino fundamental completo";"masculino"
238;"violencia domestica";238;"patrimonial";"tarde";"via carolina pereira, 780";"pi";"renan andrade";12;"nao-binario";"assexual";"indigena";"ensino medio completo";"feminino"
240;"assedio";240;"sexual";"manha";"passarela marcos vinicius vieira, 227";"am";"isabelly da mata";67;"homem cisgenero";"pansexual";"amarelo";"pos-graduacao";"masculino"
245;"discriminacao";245;"fisica";"madrugada";"quadra catarina rodrigues, 157";"rr";"antony vargas";23;"mulher transgenero";"pansexual";"indigena";"ensino fundamental incompleto";"masculino"
246;"outros";246;"psicologica";"tarde";"trecho de da luz, 999";"df";"gustavo henrique andrade";22;"nao-binario";"assexual";"amarelo";"ensino medio completo";"masculino"
252;"violencia domestica";252;"sexual";"madrugada";"avenida de pinto, 902";"ba";"nina almeida";55;"mulher transgenero";"heterossexual";"amarelo";"ensino superior incompleto";"masculino"
254;"violencia domestica";254;"fisica";"madrugada";"chacara evelyn silva, 146";"ma";"ravi lucca costa";87;"homem transgenero";"assexual";"indigena";"ensino medio completo";"feminino"
255;"outros";255;"fisica";"madrugada";"fazenda valentina aparecida, 163";"go";"davi miguel cavalcanti";30;"homem cisgenero";"pansexual";"branco";"pos-graduacao";"masculino"
256;"outros";256;"moral";"manha";"largo de machado, 175";"rn";"antonio aparecida";58;"nao-binario";"assexual";"branco";"pos-graduacao";"masculino"
257;"agressao";257;"psicologica";"madrugada";"campo de farias, 13";"pi";"vinicius dias";94;"mulher cisgenero";"homossexual";"branco";"ensino medio completo";"feminino"
258;"discriminacao";258;"psicologica";"madrugada";"area augusto mendes, 950";"go";"emanuella siqueira";29;"mulher cisgenero";"assexual";"amarelo";"ensino superior incompleto";"feminino"
261;"agressao";261;"patrimonial";"madrugada";"colonia rodrigues, 989";"pi";"eduardo vargas";55;"homem transgenero";"heterossexual";"indigena";"ensino fundamental incompleto";"feminino"
266;"outros";266;"psicologica";"madrugada";"viela campos, 953";"pi";"jade camargo";55;"homem transgenero";"heterossexual";"negro";"ensino superior completo";"feminino"
268;"outros";268;"fisica";"tarde";"fazenda souza, 655";"ms";"guilherme marques";32;"mulher cisgenero";"pansexual";"pardo";"ensino medio completo";"feminino"
275;"outros";275;"moral";"noite";"morro de da rocha, 660";"ba";"ravi cardoso";76;"homem transgenero";"bissexual";"indigena";"ensino fundamental completo";"feminino"
277;"agressao";277;"fisica";"manha";"campo almeida, 358";"se";"miguel pastor";94;"homem transgenero";"assexual";"amarelo";"ensino medio completo";"feminino"
279;"discriminacao";279;"psicologica";"madrugada";"chacara de rios, 559";"pi";"calebe montenegro";57;"mulher transgenero";"assexual";"negro";"ensino superior incompleto";"masculino"
281;"agressao";281;"fisica";"manha";"sitio davi miguel rios, 812";"se";"ana cecilia araujo";25;"homem cisgenero";"pansexual";"negro";"ensino medio incompleto";"masculino"
283;"discriminacao";283;"patrimonial";"tarde";"lago kevin goncalves, 561";"go";"levi da cruz";74;"mulher cisgenero";"heterossexual";"pardo";"pos-graduacao";"feminino"
284;"outros";284;"psicologica";"tarde";"trecho maria liz albuquerque, 2";"am";"camila gomes";98;"homem cisgenero";"pansexual";"negro";"ensino fundamental completo";"masculino"
285;"outros";285;"psicologica";"noite";"patio de sales, 549";"pe";"ana vitoria oliveira";73;"mulher cisgenero";"bissexual";"indigena";"ensino fundamental incompleto";"feminino"
286;"discriminacao";286;"fisica";"noite";"vereda barros, 809";"pi";"ana luiza da luz";29;"nao-binario";"bissexual";"amarelo";"ensino superior completo";"masculino"
289;"outros";289;"fisica";"madrugada";"recanto de castro, 828";"ba";"mariane ferreira";58;"homem transgenero";"heterossexual";"indigena";"ensino fundamental incompleto";"feminino"
290;"discriminacao";290;"moral";"tarde";"patio pacheco, 614";"rj";"zoe melo";55;"homem transgenero";"assexual";"pardo";"ensino superior completo";"feminino"
291;"discriminacao";291;"sexual";"tarde";"residencial de aparecida, 275";"df";"clara mendes";55;"nao-binario";"bissexual";"negro";"ensino medio incompleto";"feminino"
294;"discriminacao";294;"sexual";"madrugada";"recanto de ramos, 952";"es";"noah goncalves";58;"homem transgenero";"homossexual";"negro";"ensino fundamental completo";"feminino"
296;"agressao";296;"patrimonial";"tarde";"trecho vinicius cirino, 512";"pr";"heloisa araujo";29;"nao-binario";"bissexual";"pardo";"ensino superior completo";"feminino"
297;"outros";297;"sexual";"manha";"estacao de pacheco, 952";"se";"isadora sa";69;"mulher cisgenero";"heterossexual";"amarelo";"ensino medio completo";"feminino"
298;"outros";298;"patrimonial";"manha";"rodovia vitoria vargas, 542";"df";"vitor hugo pereira";80;"mulher cisgenero";"bissexual";"branco";"ensino medio incompleto";"feminino"
299;"outros";299;"patrimonial";"noite";"passarela de araujo, 125";"se";"kaique mendonca";70;"mulher transgenero";"assexual";"indigena";"ensino medio incompleto";"masculino"
300;"agressao";300;"moral";"tarde";"vila gabrielly da cruz, 522";"pb";"felipe da costa";100;"mulher cisgenero";"pansexual";"amarelo";"ensino medio incompleto";"feminino"
301;"assedio";301;"psicologica";"madrugada";"feira rocha, 790";"df";"maria alice mendonca";82;"homem transgenero";"assexual";"amarelo";"ensino superior incompleto";"feminino"
302;"violencia domestica";302;"moral";"noite";"condominio beatriz gomes, 148";"pe";"lunna pires";50;"mulher cisgenero";"homossexual";"indigena";"ensino medio completo";"feminino"
303;"agressao";303;"psicologica";"noite";"area de pastor, 669";"es";"valentim camargo";82;"homem transgenero";"heterossexual";"indigena";"pos-graduacao";"feminino"
305;"assedio";305;"psicologica";"manha";"conjunto noah fogaca, 713";"am";"aurora silva";49;"homem cisgenero";"homossexual";"negro";"ensino medio completo";"masculino"
306;"violencia domestica";306;"sexual";"manha";"trecho peixoto, 739";"ap";"yasmin goncalves";20;"nao-binario";"heterossexual";"negro";"ensino fundamental incompleto";"feminino"
308;"assedio";308;"psicologica";"madrugada";"viela da mota, 473";"pr";"mateus lopes";95;"nao-binario";"heterossexual";"negro";"pos-graduacao";"masculino"
311;"outros";311;"psicologica";"tarde";"estacao de pacheco, 854";"to";"augusto monteiro";55;"mulher cisgenero";"assexual";"amarelo";"ensino fundamental incompleto";"feminino"
312;"agressao";312;"moral";"manha";"vereda rocha, 418";"to";"ester peixoto";55;"nao-binario";"heterossexual";"branco";"pos-graduacao";"feminino"
313;"assedio";313;"psicologica";"tarde";"quadra laura melo, 366";"es";"pietro caldeira";55;"mulher cisgenero";"homossexual";"negro";"ensino superior incompleto";"feminino"
315;"agressao";315;"patrimonial";"tarde";"morro de pereira, 563";"rs";"joana ferreira";30;"homem cisgenero";"bissexual";"indigena";"ensino fundamental completo";"masculino"
323;"violencia domestica";323;"patrimonial";"tarde";"aeroporto maysa pacheco, 414";"rs";"heitor borges";35;"mulher transgenero";"assexual";"branco";"ensino medio incompleto";"masculino"
324;"agressao";324;"fisica";"tarde";"loteamento hadassa das neves, 120";"df";"vicente ferreira";47;"mulher cisgenero";"bissexual";"negro";"ensino medio incompleto";"feminino"
325;"assedio";325;"fisica";"tarde";"viaduto vasconcelos, 893";"es";"rhavi costa";55;"homem cisgenero";"heterossexual";"negro";"pos-graduacao";"masculino"
327;"assedio";327;"psicologica";"manha";"esplanada de vasconcelos, 817";"ac";"pedro pinto";59;"homem cisgenero";"heterossexual";"branco";"ensino fundamental completo";"masculino"
332;"agressao";332;"psicologica";"manha";"estacao caua brito, 857";"se";"henry santos";15;"mulher cisgenero";"heterossexual";"amarelo";"ensino medio completo";"feminino"
333;"agressao";333;"patrimonial";"manha";"colonia de novaes, 111";"ms";"brenda castro";55;"homem transgenero";"pansexual";"pardo";"ensino fundamental incompleto";"feminino"
337;"violencia domestica";337;"moral";"noite";"estacao da conceicao, 653";"ms";"otavio machado";55;"nao-binario";"bissexual";"pardo";"ensino superior completo";"masculino"
338;"discriminacao";338;"fisica";"madrugada";"jardim de da cunha, 85";"ce";"davi miguel cavalcante";42;"homem transgenero";"homossexual";"pardo";"ensino fundamental completo";"feminino"
341;"outros";341;"psicologica";"manha";"colonia ian oliveira, 911";"mg";"joao gabriel cirino";75;"mulher cisgenero";"pansexual";"negro";"ensino medio incompleto";"feminino"
343;"assedio";343;"fisica";"tarde";"chacara da mota, 987";"am";"raul farias";48;"nao-binario";"bissexual";"amarelo";"ensino medio incompleto";"feminino"
345;"outros";345;"moral";"madrugada";"via de cavalcante, 923";"mt";"heloisa da mota";58;"nao-binario";"assexual";"negro";"ensino superior completo";"feminino"
346;"violencia domestica";346;"sexual";"tarde";"sitio davi luiz albuquerque, 470";"mt";"giovanna da rocha";71;"homem cisgenero";"bissexual";"pardo";"ensino fundamental completo";"masculino"
349;"agressao";349;"moral";"madrugada";"morro vargas, 748";"pe";"marcelo nascimento";40;"mulher transgenero";"assexual";"indigena";"ensino superior incompleto";"masculino"
352;"discriminacao";352;"sexual";"manha";"loteamento de rios, 104";"rn";"ana beatriz lopes";93;"nao-binario";"bissexual";"branco";"ensino fundamental completo";"feminino"
354;"agressao";354;"moral";"madrugada";"loteamento brito, 653";"rj";"paulo campos";10;"homem cisgenero";"assexual";"negro";"ensino medio completo";"masculino"
356;"agressao";356;"sexual";"tarde";"ladeira gustavo henrique lopes, 777";"df";"bruno dias";25;"mulher cisgenero";"assexual";"negro";"ensino medio completo";"feminino"
357;"assedio";357;"fisica";"tarde";"jardim de farias, 610";"pb";"diogo vieira";46;"nao-binario";"assexual";"amarelo";"ensino medio completo";"feminino"
358;"outros";358;"sexual";"noite";"ladeira matheus da conceicao, 866";"am";"natalia guerra";73;"nao-binario";"heterossexual";"negro";"ensino superior completo";"masculino"
360;"violencia domestica";360;"psicologica";"tarde";"lago maria laura novaes, 374";"ma";"igor ramos";55;"mulher transgenero";"homossexual";"amarelo";"ensino superior completo";"masculino"
361;"violencia domestica";361;"fisica";"madrugada";"distrito daniela peixoto, 744";"am";"rafaela pastor";95;"nao-binario";"pansexual";"branco";"ensino medio incompleto";"feminino"
362;"outros";362;"psicologica";"manha";"favela milena pinto, 921";"rr";"henrique fernandes";27;"mulher transgenero";"pansexual";"pardo";"ensino medio completo";"masculino"
364;"outros";364;"patrimonial";"manha";"loteamento camara, 217";"am";"samuel jesus";98;"homem transgenero";"homossexual";"branco";"pos-graduacao";"feminino"
