id_denuncia;tipo_de_denuncia;id_violencia;tipo_violencia;periodo_dia;endereco;estado;nome;idade;identidade_de_genero;orientacao_sexual;etnia;escolaridade;genero_biologico
16;Outros;16;Moral;Madrugada;Ladeira Peixoto, 605;PB;João Lucas Farias;89;Mulher Transgenero;Pansexual;Indigena;Ensino Medio Incompleto;Masculino
17;Agressao;17;Fisica;Manha;Estrada de Moreira, 307;PB;Danilo Rezende;99;Homem Cisgenero;Heterossexual;Branco;Pos-graduacao;Masculino
18;Invalido;18;Psicologica;Noite;Esplanada de Mendes, 276;RJ;Srta. Marcela Aragão;41;Homem Cisgenero;Assexual;Amarelo;Ensino Superior Completo;Feminino
19;Agressao;19;Moral;Tarde;Aeroporto de Ramos, 903;AC;Carlos Eduardo Montenegro;175;Mulher Transgenero;Assexual;Negro;Ensino Medio Incompleto;Masculino
20;Discriminacao;20;Psicologica;Noite;Lago Cassiano, 449;XX;Bernardo Albuquerque;0;Homem Transgenero;Heterossexual;Pardo;Ensino Superior Completo;Feminino
21;Invalido;21;Fisica;Manha;Praça Melo, 442;AL;Danilo Azevedo;105;Nao-Binario;Pansexual;Negro;Ensino Superior Completo;Masculino
22;Invalido;22;Patrimonial;Tarde;Aeroporto José Pedro Nogueira, 113;AM;Luana Ribeiro;3;Homem Cisgenero;Pansexual;Indigena;Ensino Medio Completo;Feminino
23;Invalido;23;Moral;Tarde;Lagoa de Pires, 14;ES;Ravy Mendes;105;Nao-Binario;Homossexual;Amarelo;Pos-graduacao;Masculino
24;Outros;24;Sexual;Madrugada;Campo de Câmara, 475;GO;Oliver Aparecida;147;Mulher Cisgenero;Pansexual;Indigena;Pos-graduacao;Feminino
25;Assedio;25;Sexual;Madrugada;Sítio Valentim Alves, 524;XX;Anthony Freitas;45;Homem Transgenero;Heterossexual;Pardo;Ensino Fundamental Incompleto;Feminino
26;;26;Fisica;Noite;;;;91;;;;;
27;;27;Fisica;Tarde;;;;63;;;;;
28;Violencia Domestica;28;Moral;Manha;Fazenda de Lima, 855;RN;Stella Almeida;96;Mulher Transgenero;Pansexual;Branco;Ensino Fundamental Completo;Feminino
29;Invalido;29;Moral;Tarde;Quadra de Jesus, 281;RJ;Júlia Caldeira;46;Nao-Binario;Homossexual;Negro;Ensino Superior Completo;Feminino
30;;30;Sexual;Madrugada;;;;84;;;;;
31;Violencia Domestica;31;Fisica;Noite;Lago Ribeiro, 673;PE;Sr. José Castro;127;Mulher Cisgenero;Pansexual;Indigena;Ensino Medio Incompleto;Feminino
32;;32;Psicologica;Noite;;;;33;;;;;
33;Invalido;33;Sexual;Tarde;Quadra de Ramos, 413;RJ;Camila Macedo;101;Homem Cisgenero;Heterossexual;Negro;Ensino Superior Incompleto;Masculino
34;Outros;34;Fisica;Manha;Travessa Pimenta, 846;AM;Maria Sophia Pastor;95;Homem Transgenero;Assexual;Indigena;Ensino Superior Completo;Feminino
35;Assedio;35;Fisica;Madrugada;Vereda de Monteiro, 300;AP;Ana Carolina Abreu;nan;Mulher Transgenero;Heterossexual;Negro;Ensino Medio Completo;Feminino
36;Outros;36;Patrimonial;Tarde;Distrito Correia, 57;RR;Davi Lucas Guerra;26;Homem Transgenero;Bissexual;Amarelo;Pos-graduacao;Feminino
37;Discriminacao;37;Moral;Noite;Lagoa de Nunes, 312;AP;Maria Laura Pastor;177;Homem Transgenero;Assexual;Amarelo;Ensino Superior Completo;Feminino
38;Violencia Domestica;38;Patrimonial;Madrugada;Praia Milena da Luz, 801;XX;Sra. Ana Júlia Nunes;77;Nao-Binario;Heterossexual;Branco;Ensino Superior Completo;Masculino
39;Invalido;39;Moral;Manha;Via Lavínia Marques, 151;DF;Clarice da Rocha;64;Mulher Transgenero;Homossexual;Negro;Ensino Medio Incompleto;Feminino
40;Outros;40;Patrimonial;Madrugada;Loteamento de Caldeira, 269;XX;Rhavi Costela;103;Mulher Transgenero;Heterossexual;Pardo;Pos-graduacao;Feminino
41;Agressao;41;Patrimonial;Noite;Lago Jesus, 97;XX;Marcela Fonseca;73;Homem Transgenero;Bissexual;Indigena;Ensino Superior Completo;Feminino
42;Assedio;42;Patrimonial;Madrugada;Residencial Thiago da Luz, 647;BA;Nicole Nogueira;69;Mulher Transgenero;Pansexual;Pardo;Ensino Medio Incompleto;Feminino
43;Invalido;43;Patrimonial;Manha;Fazenda de Ribeiro, 23;ES;Igor Nascimento;34;Mulher Transgenero;Homossexual;Amarelo;Ensino Medio Completo;Feminino
44;Assedio;44;Patrimonial;Noite;Feira de Fogaça, 771;PI;Gael Henrique Abreu;123;Homem Transgenero;Bissexual;Indigena;Ensino Fundamental Completo;Feminino
45;Agressao;45;Psicologica;Madrugada;Jardim Yago Barbosa, 986;SC;Mathias Peixoto;173;Homem Transgenero;Heterossexual;Pardo;Ensino Fundamental Incompleto;Feminino
46;;46;Psicologica;Manha;;;;92;;;;;
47;Violencia Domestica;47;Psicologica;Noite;Rodovia Heloísa Lima, 467;MG;Dra. Maria Laura Mendonça;nan;Homem Cisgenero;Homossexual;Branco;Ensino Fundamental Completo;Masculino
48;Violencia Domestica;48;Psicologica;Manha;Recanto Fogaça, 176;AP;Carlos Eduardo Porto;nan;Mulher Transgenero;Bissexual;Negro;Ensino Superior Completo;Masculino
49;Agressao;49;Psicologica;Madrugada;Favela de Marques, 57;XX;Vitória Almeida;74;Homem Transgenero;Homossexual;Amarelo;Ensino Medio Completo;Feminino
50;Assedio;50;Psicologica;Tarde;Quadra Ana Laura Aparecida, 112;XX;Bella Cunha;31;Mulher Transgenero;Heterossexual;Pardo;Ensino Fundamental Incompleto;Feminino
51;Violencia Domestica;51;Psicologica;Noite;Estrada Benício da Conceição, 6;MG;Lucca Almeida;nan;Homem Transgenero;Pansexual;Negro;Pos-graduacao;Masculino
52;Invalido;52;Fisica;Noite;Fazenda Abreu, 898;CE;Sra. Luara Mendonça;48;Nao-Binario;Pansexual;Branco;Ensino Fundamental Completo;Masculino
53;Violencia Domestica;53;Psicologica;Tarde;Alameda de Leão, 728;XX;Ian Vargas;88;Nao-Binario;Heterossexual;Amarelo;Ensino Superior Completo;Masculino
54;Agressao;54;Moral;Madrugada;Setor de Casa Grande, 211;RJ;Sr. Nathan da Rocha;nan;Homem Cisgenero;Pansexual;Negro;Ensino Fundamental Incompleto;Masculino
55;Invalido;55;Psicologica;Noite;Residencial Silva, 964;CE;Maria Helena Costa;108;Mulher Transgenero;Bissexual;Indigena;Ensino Superior Completo;Masculino
56;Violencia Domestica;56;Fisica;Madrugada;Passarela das Neves, 895;AL;Elisa Silveira;nan;Homem Transgenero;Pansexual;Indigena;Ensino Fundamental Completo;Masculino
57;Violencia Domestica;57;Psicologica;Madrugada;Condomínio de Nunes, 883;RN;Carolina da Paz;79;Homem Cisgenero;Bissexual;Indigena;Ensino Medio Completo;Masculino
58;;58;Fisica;Manha;;;;35;;;;;
59;Agressao;59;Sexual;Madrugada;Campo da Conceição, 607;PR;Catarina Nogueira;84;Homem Transgenero;Assexual;Branco;Ensino Superior Completo;Masculino
60;Invalido;60;Patrimonial;Tarde;Área Thales Nogueira, 627;MS;Anna Liz da Luz;79;Nao-Binario;Assexual;Amarelo;Ensino Medio Completo;Feminino
61;Violencia Domestica;61;Patrimonial;Noite;Lago de Machado, 934;GO;Heloisa Moura;102;Homem Cisgenero;Heterossexual;Negro;Ensino Fundamental Incompleto;Feminino
62;Discriminacao;62;Patrimonial;Tarde;Aeroporto de Porto, 185;RO;Dr. Valentim Marques;83;Mulher Transgenero;Pansexual;Pardo;Ensino Medio Completo;Masculino
63;;63;Fisica;Tarde;;;;96;;;;;
64;Discriminacao;64;Fisica;Madrugada;Sítio da Paz, 240;RN;Alexandre Albuquerque;91;Homem Transgenero;Pansexual;Amarelo;Ensino Medio Completo;Feminino
65;Invalido;65;Moral;Manha;Vale de Aragão, 388;PB;Ravi Sousa;62;Mulher Cisgenero;Homossexual;Amarelo;Ensino Medio Incompleto;Feminino
66;Invalido;66;Fisica;Madrugada;Vale Clara Casa Grande, 834;BA;Maria Luísa Vasconcelos;18;Mulher Cisgenero;Assexual;Amarelo;Ensino Medio Completo;Masculino
67;;67;Patrimonial;Manha;;;;73;;;;;
68;;68;Fisica;Manha;;;;59;;;;;
69;Outros;69;Sexual;Noite;Residencial da Cruz, 366;XX;Léo Montenegro;33;Homem Transgenero;Bissexual;Amarelo;Ensino Superior Incompleto;Masculino
70;Outros;70;Patrimonial;Manha;Estação de Brito, 693;PI;Maria Laura Aparecida;nan;Mulher Transgenero;Homossexual;Branco;Pos-graduacao;Masculino
71;Discriminacao;71;Moral;Manha;Avenida Olivia das Neves, 324;RR;Matheus Andrade;142;Mulher Cisgenero;Pansexual;Amarelo;Ensino Superior Completo;Masculino
72;Invalido;72;Sexual;Madrugada;Condomínio Melina da Rosa, 389;RN;Renan Carvalho;35;Mulher Cisgenero;Assexual;Negro;Ensino Fundamental Completo;Masculino
73;;73;Sexual;Tarde;;;;94;;;;;
74;Assedio;74;Patrimonial;Manha;Colônia de Moura, 811;SP;Maitê Moura;2;Homem Cisgenero;Homossexual;Amarelo;Pos-graduacao;Masculino
75;Invalido;75;Fisica;Manha;Favela Théo da Luz, 5;CE;Sr. André Campos;58;Homem Cisgenero;Homossexual;Amarelo;Ensino Medio Completo;Feminino
76;;76;Fisica;Manha;;;;41;;;;;
77;Assedio;77;Psicologica;Manha;Feira Cavalcante, 797;XX;Alice Machado;83;Nao-Binario;Homossexual;Branco;Ensino Superior Incompleto;Masculino
78;Assedio;78;Moral;Manha;Feira Ana Sophia Garcia, 290;TO;Srta. Ana Júlia Câmara;nan;Homem Transgenero;Pansexual;Branco;Ensino Superior Completo;Feminino
79;Assedio;79;Sexual;Tarde;Colônia Sampaio, 314;MG;Zoe Farias;58;Homem Transgenero;Assexual;Amarelo;Ensino Superior Incompleto;Feminino
80;;80;Moral;Madrugada;;;;52;;;;;
81;Invalido;81;Patrimonial;Tarde;Condomínio Ramos, 333;SC;Ana Luiza Casa Grande;55;Mulher Cisgenero;Pansexual;Branco;Ensino Medio Incompleto;Feminino
82;Assedio;82;Moral;Manha;Quadra Valentina Pacheco, 117;RS;Luiza Moura;126;Nao-Binario;Pansexual;Amarelo;Ensino Superior Completo;Feminino
83;Assedio;83;Psicologica;Noite;Núcleo Moreira, 847;MS;Dr. Théo Cunha;184;Homem Cisgenero;Heterossexual;Negro;Ensino Superior Completo;Feminino
84;;84;Patrimonial;Noite;;;;0;;;;;
85;Assedio;85;Patrimonial;Manha;Vale Carolina das Neves, 125;XX;Evelyn Duarte;59;Mulher Transgenero;Assexual;Negro;Ensino Medio Incompleto;Masculino
86;Violencia Domestica;86;Moral;Madrugada;Conjunto de Sampaio, 299;XX;Vicente Silveira;21;Mulher Cisgenero;Bissexual;Amarelo;Ensino Fundamental Incompleto;Masculino
87;;87;Fisica;Madrugada;;;;78;;;;;
88;Violencia Domestica;88;Fisica;Manha;Quadra Cavalcante, 501;XX;Alexandre Nogueira;13;Homem Transgenero;Homossexual;Indigena;Ensino Fundamental Incompleto;Feminino
89;Violencia Domestica;89;Fisica;Madrugada;Vale de Rios, 668;SE;Eloá Cavalcanti;87;Mulher Cisgenero;Assexual;Indigena;Ensino Fundamental Incompleto;Feminino
90;Discriminacao;90;Fisica;Madrugada;Morro Samuel Melo, 465;PB;Caroline Nascimento;59;Homem Transgenero;Heterossexual;Indigena;Ensino Fundamental Completo;Masculino
91;Assedio;91;Fisica;Manha;Alameda Silva, 409;AP;Miguel Dias;nan;Nao-Binario;Pansexual;Branco;Ensino Fundamental Incompleto;Masculino
92;Outros;92;Patrimonial;Manha;Viela Rocha, 89;XX;Manuela Siqueira;6;Homem Cisgenero;Assexual;Branco;Pos-graduacao;Feminino
93;Invalido;93;Psicologica;Noite;Travessa de Cassiano, 749;CE;Diogo Gonçalves;16;Nao-Binario;Assexual;Pardo;Ensino Medio Completo;Feminino
94;Agressao;94;Moral;Tarde;Avenida Yuri Mendes, 159;PB;Cecília Caldeira;53;Mulher Cisgenero;Heterossexual;Indigena;Ensino Fundamental Incompleto;Feminino
95;Violencia Domestica;95;Patrimonial;Noite;Estação de Rezende, 624;XX;Raquel Fogaça;64;Nao-Binario;Bissexual;Pardo;Ensino Superior Completo;Feminino
96;Assedio;96;Moral;Noite;Residencial de Mendes, 742;RR;Bernardo Peixoto;41;Homem Cisgenero;Assexual;Negro;Ensino Superior Completo;Feminino
97;Agressao;97;Moral;Noite;Feira Ravy Mendonça, 777;RO;Kevin Martins;8;Mulher Transgenero;Assexual;Branco;Ensino Medio Incompleto;Feminino
98;;98;Moral;Madrugada;;;;21;;;;;
99;Agressao;99;Patrimonial;Noite;Viaduto Mariana Cirino, 544;XX;Raul Alves;51;Mulher Cisgenero;Heterossexual;Indigena;Ensino Fundamental Incompleto;Masculino
100;Discriminacao;100;Psicologica;Tarde;Chácara de Andrade, 46;XX;Joaquim Câmara;28;Nao-Binario;Pansexual;Branco;Ensino Medio Incompleto;Masculino
101;Agressao;101;Fisica;Madrugada;Condomínio Manuela Almeida, 482;RJ;Felipe Moura;97;Mulher Transgenero;Bissexual;Pardo;Ensino Fundamental Incompleto;Feminino
102;Agressao;102;Moral;Madrugada;Praia Vitória Alves, 731;XX;Oliver Nascimento;1;Nao-Binario;Assexual;Amarelo;Ensino Superior Incompleto;Masculino
103;Invalido;103;Psicologica;Tarde;Loteamento Cardoso, 310;AC;Sr. Luiz Fernando Casa Grande;94;Homem Cisgenero;Pansexual;Pardo;Ensino Fundamental Incompleto;Masculino
104;Invalido;104;Moral;Noite;Vereda Fonseca, 393;CE;Sr. Pedro Henrique Borges;98;Nao-Binario;Assexual;Amarelo;Ensino Superior Completo;Masculino
105;Discriminacao;105;Fisica;Manha;Trevo de Rocha, 564;RR;Matteo Camargo;155;Homem Cisgenero;Heterossexual;Branco;Pos-graduacao;Masculino
106;Discriminacao;106;Fisica;Tarde;Trevo Isabella da Cunha, 175;XX;Bianca Cunha;52;Homem Transgenero;Bissexual;Negro;Ensino Medio Completo;Masculino
107;Invalido;107;Sexual;Manha;Viaduto Júlia Rodrigues, 191;GO;Ana Júlia Duarte;106;Nao-Binario;Pansexual;Pardo;Ensino Fundamental Completo;Feminino
108;Outros;108;Psicologica;Noite;Colônia de Cavalcante, 805;ES;Srta. Hellena Barros;25;Mulher Transgenero;Heterossexual;Branco;Pos-graduacao;Masculino
109;Violencia Domestica;109;Moral;Tarde;Sítio Moura, 850;RN;Sr. Nathan Siqueira;164;Homem Cisgenero;Bissexual;Branco;Ensino Fundamental Completo;Masculino
110;Outros;110;Psicologica;Noite;Alameda Campos, 543;MT;Mathias Macedo;45;Nao-Binario;Homossexual;Pardo;Ensino Fundamental Completo;Feminino
111;;111;Fisica;Tarde;;;;54;;;;;
112;Outros;112;Fisica;Noite;Núcleo Pinto, 165;RS;Alícia Teixeira;97;Homem Transgenero;Bissexual;Branco;Ensino Fundamental Incompleto;Masculino
113;;113;Moral;Manha;;;;73;;;;;
114;;114;Moral;Tarde;;;;34;;;;;
115;Assedio;115;Patrimonial;Manha;Praia Andrade, 630;MA;Olivia Cunha;19;Homem Cisgenero;Assexual;Pardo;Ensino Medio Incompleto;Feminino
116;Invalido;116;Moral;Madrugada;Lagoa Júlia Brito, 792;BA;Maya Pires;30;Mulher Transgenero;Heterossexual;Pardo;Pos-graduacao;Masculino
117;Invalido;117;Psicologica;Madrugada;Setor Valentina Vieira, 351;MT;Paulo Mendonça;86;Homem Transgenero;Heterossexual;Pardo;Ensino Medio Incompleto;Feminino
118;Assedio;118;Psicologica;Tarde;Colônia Montenegro, 117;XX;Levi Andrade;82;Homem Cisgenero;Heterossexual;Amarelo;Ensino Fundamental Completo;Masculino
119;Assedio;119;Fisica;Noite;Residencial Lorenzo Novaes, 221;MA;Brenda das Neves;154;Nao-Binario;Assexual;Negro;Ensino Superior Incompleto;Feminino
120;;120;Sexual;Noite;;;;18;;;;;
121;Assedio;121;Sexual;Noite;Rodovia de Gomes, 492;DF;Luigi Castro;nan;Nao-Binario;Pansexual;Indigena;Ensino Fundamental Completo;Masculino
122;;122;Fisica;Tarde;;;;36;;;;;
123;;123;Fisica;Tarde;;;;10;;;;;
124;;124;Sexual;Madrugada;;;;20;;;;;
125;Agressao;125;Fisica;Tarde;Vereda Alves, 933;PB;Lara da Paz;29;Nao-Binario;Heterossexual;Negro;Ensino Superior Completo;Feminino
126;;126;Moral;Noite;;;;36;;;;;
127;Discriminacao;127;Moral;Tarde;Passarela de Martins, 313;SP;João Lucas Albuquerque;125;Nao-Binario;Bissexual;Amarelo;Ensino Medio Incompleto;Feminino
128;Assedio;128;Moral;Manha;Setor Calebe Vargas, 432;TO;Lorena Montenegro;nan;Nao-Binario;Homossexual;Indigena;Pos-graduacao;Feminino
129;Invalido;129;Psicologica;Madrugada;Viaduto Lorenzo Vasconcelos, 899;ES;João Lucas Mendes;106;Mulher Transgenero;Heterossexual;Branco;Ensino Medio Completo;Masculino
130;Discriminacao;130;Patrimonial;Noite;Via Almeida, 655;BA;Caio Martins;nan;Mulher Transgenero;Homossexual;Indigena;Ensino Medio Incompleto;Feminino
131;Assedio;131;Sexual;Tarde;Área Beatriz Moura, 861;XX;Dra. Letícia Souza;63;Homem Transgenero;Pansexual;Indigena;Ensino Superior Incompleto;Feminino
132;Discriminacao;132;Patrimonial;Tarde;Largo Caldeira, 5;PE;Dra. Cecília Barbosa;37;Mulher Cisgenero;Heterossexual;Amarelo;Ensino Superior Incompleto;Feminino
133;Discriminacao;133;Fisica;Manha;Colônia Nunes, 228;XX;Manuella Moraes;51;Nao-Binario;Heterossexual;Pardo;Ensino Superior Completo;Masculino
134;Invalido;134;Psicologica;Tarde;Ladeira de Alves, 414;SC;João Vitor Andrade;103;Mulher Cisgenero;Bissexual;Negro;Ensino Fundamental Incompleto;Feminino
135;Invalido;135;Sexual;Madrugada;Rua Câmara, 558;RO;Vinícius Lopes;30;Homem Cisgenero;Heterossexual;Indigena;Ensino Superior Incompleto;Feminino
136;Discriminacao;136;Fisica;Manha;Lagoa Barbosa, 820;MT;Dr. Francisco Lima;44;Homem Transgenero;Assexual;Indigena;Ensino Fundamental Completo;Feminino
137;Assedio;137;Sexual;Madrugada;Ladeira da Costa, 121;RO;Dr. Gustavo Henrique Silveira;178;Homem Cisgenero;Heterossexual;Indigena;Ensino Superior Completo;Masculino
138;Invalido;138;Patrimonial;Noite;Estação de Gomes, 397;MS;Jade Araújo;105;Mulher Cisgenero;Homossexual;Branco;Ensino Fundamental Completo;Feminino
139;Invalido;139;Sexual;Manha;Praça de Siqueira, 863;PE;Diogo da Cunha;12;Homem Cisgenero;Bissexual;Branco;Pos-graduacao;Feminino
140;Discriminacao;140;Patrimonial;Manha;Lago Sophie Mendes, 969;ES;Benjamin Teixeira;82;Nao-Binario;Homossexual;Pardo;Ensino Superior Completo;Feminino
141;Outros;141;Fisica;Tarde;Setor Brito, 785;XX;Davi Lucca Rodrigues;49;Mulher Transgenero;Pansexual;Indigena;Ensino Medio Completo;Feminino
142;Outros;142;Patrimonial;Noite;Viaduto de da Mota, 696;CE;Larissa Oliveira;135;Homem Cisgenero;Heterossexual;Indigena;Ensino Superior Completo;Masculino
143;;143;Moral;Tarde;;;;51;;;;;
144;Violencia Domestica;144;Patrimonial;Madrugada;Estação da Luz, 108;XX;Stephany Almeida;64;Mulher Cisgenero;Bissexual;Pardo;Ensino Fundamental Completo;Masculino
145;Assedio;145;Patrimonial;Tarde;Trevo João Miguel Carvalho, 388;AM;Lorenzo Gonçalves;83;Homem Transgenero;Bissexual;Negro;Ensino Fundamental Incompleto;Masculino
146;Agressao;146;Psicologica;Manha;Avenida de Azevedo, 956;XX;Dom Campos;66;Nao-Binario;Pansexual;Branco;Ensino Medio Completo;Feminino
147;Discriminacao;147;Moral;Manha;Vila de Nunes, 210;RS;Dr. Benício Azevedo;94;Nao-Binario;Pansexual;Amarelo;Ensino Medio Completo;Masculino
148;Outros;148;Fisica;Manha;Residencial de Siqueira, 683;XX;Juan Sales;83;Mulher Transgenero;Bissexual;Indigena;Ensino Superior Completo;Feminino
149;Invalido;149;Psicologica;Madrugada;Feira de Oliveira, 937;MS;Isadora Alves;28;Mulher Cisgenero;Homossexual;Branco;Ensino Fundamental Incompleto;Masculino
150;Agressao;150;Moral;Manha;Residencial Brito, 211;XX;Lavínia Monteiro;2;Homem Cisgenero;Heterossexual;Negro;Ensino Fundamental Incompleto;Masculino
151;Invalido;151;Psicologica;Noite;Campo Melo, 455;PI;Bruno Nascimento;19;Nao-Binario;Heterossexual;Indigena;Pos-graduacao;Feminino
152;;152;Psicologica;Tarde;;;;62;;;;;
153;;153;Patrimonial;Noite;;;;91;;;;;
154;Invalido;154;Sexual;Tarde;Rua Novais, 495;PR;Eloá da Costa;7;Homem Transgenero;Heterossexual;Negro;Ensino Medio Incompleto;Feminino
155;Outros;155;Moral;Noite;Estação de Barros, 151;AC;Allana Leão;70;Homem Cisgenero;Heterossexual;Branco;Pos-graduacao;Feminino
156;;156;Psicologica;Noite;;;;51;;;;;
157;Outros;157;Fisica;Tarde;Sítio Câmara, 651;AM;Henry Gabriel Alves;156;Mulher Transgenero;Homossexual;Negro;Ensino Superior Incompleto;Feminino
158;Invalido;158;Psicologica;Manha;Estação Monteiro, 799;AM;Isadora Ramos;64;Nao-Binario;Bissexual;Pardo;Ensino Medio Incompleto;Feminino
159;;159;Moral;Madrugada;;;;24;;;;;
160;Violencia Domestica;160;Patrimonial;Manha;Colônia Maya Montenegro, 892;SC;Emanuelly Borges;8;Nao-Binario;Heterossexual;Negro;Pos-graduacao;Feminino
161;Agressao;161;Psicologica;Noite;Loteamento de da Rocha, 819;XX;Arthur Miguel da Paz;108;Mulher Transgenero;Assexual;Amarelo;Ensino Superior Completo;Masculino
162;Discriminacao;162;Psicologica;Manha;Condomínio Ana Sophia Sampaio, 265;RN;Sara Montenegro;174;Homem Transgenero;Homossexual;Pardo;Ensino Medio Incompleto;Feminino
163;Invalido;163;Fisica;Tarde;Trecho Silva, 183;PB;Maria Luísa Nascimento;70;Mulher Cisgenero;Heterossexual;Pardo;Ensino Superior Incompleto;Masculino
164;Assedio;164;Psicologica;Manha;Campo Joaquim Rios, 93;GO;Mirella Ribeiro;89;Homem Transgenero;Bissexual;Amarelo;Ensino Fundamental Incompleto;Masculino
165;Violencia Domestica;165;Psicologica;Tarde;Praia Moraes, 782;AC;Beatriz Leão;65;Mulher Cisgenero;Assexual;Indigena;Ensino Fundamental Incompleto;Feminino
166;Violencia Domestica;166;Moral;Tarde;Quadra Guerra, 607;CE;Dr. Matteo Costa;42;Homem Transgenero;Homossexual;Branco;Ensino Fundamental Completo;Masculino
167;Discriminacao;167;Patrimonial;Madrugada;Vale de Ramos, 76;XX;Cecília Peixoto;28;Homem Cisgenero;Assexual;Negro;Ensino Medio Completo;Masculino
168;Assedio;168;Moral;Manha;Viaduto de Cassiano, 295;XX;Ana Vitória Pires;81;Mulher Cisgenero;Bissexual;Indigena;Pos-graduacao;Masculino
169;;169;Fisica;Tarde;;;;29;;;;;
170;;170;Fisica;Noite;;;;93;;;;;
171;Outros;171;Sexual;Madrugada;Lagoa Ana Julia Teixeira, 951;PI;Dr. Arthur Miguel Viana;90;Nao-Binario;Assexual;Pardo;Ensino Medio Incompleto;Masculino
172;Agressao;172;Patrimonial;Manha;Parque de da Rocha, 452;XX;Antonella Gomes;5;Nao-Binario;Heterossexual;Negro;Ensino Superior Incompleto;Feminino
173;Assedio;173;Fisica;Madrugada;Travessa Alexandre Siqueira, 750;PB;Maria Liz Almeida;25;Homem Transgenero;Heterossexual;Negro;Ensino Medio Completo;Masculino
174;Discriminacao;174;Patrimonial;Tarde;Viela de Vargas, 692;XX;Cecília Cunha;46;Homem Transgenero;Pansexual;Branco;Ensino Fundamental Incompleto;Masculino
175;Discriminacao;175;Patrimonial;Noite;Sítio Ramos, 884;GO;Dr. Daniel da Rosa;63;Homem Cisgenero;Heterossexual;Negro;Ensino Fundamental Completo;Masculino
176;Invalido;176;Psicologica;Manha;Estrada Brayan Moreira, 542;PI;Caio Sales;14;Mulher Transgenero;Heterossexual;Indigena;Ensino Medio Incompleto;Feminino
177;Assedio;177;Patrimonial;Madrugada;Ladeira Yuri Monteiro, 569;XX;Hadassa Caldeira;46;Homem Cisgenero;Assexual;Indigena;Ensino Medio Completo;Masculino
178;Invalido;178;Fisica;Noite;Rua de Melo, 220;PR;Kamilly da Conceição;86;Mulher Transgenero;Assexual;Branco;Ensino Medio Incompleto;Feminino
179;Outros;179;Sexual;Tarde;Chácara de Pimenta, 953;XX;Isaac Barbosa;0;Homem Transgenero;Heterossexual;Branco;Ensino Superior Completo;Masculino
180;Violencia Domestica;180;Moral;Madrugada;Residencial de Cardoso, 175;GO;João Felipe Camargo;70;Homem Cisgenero;Homossexual;Amarelo;Ensino Fundamental Completo;Feminino
181;;181;Psicologica;Noite;;;;97;;;;;
182;Invalido;182;Fisica;Madrugada;Vale Nicolas Sousa, 71;SC;Maria Eduarda Campos;84;Homem Transgenero;Homossexual;Indigena;Ensino Fundamental Completo;Masculino
183;Outros;183;Psicologica;Manha;Recanto Mateus Cavalcante, 45;XX;Srta. Vitória Borges;8;Homem Transgenero;Homossexual;Branco;Ensino Fundamental Incompleto;Masculino
184;Discriminacao;184;Patrimonial;Noite;Área de Monteiro, 817;XX;Sra. Joana Vasconcelos;3;Homem Cisgenero;Assexual;Negro;Pos-graduacao;Masculino
185;Violencia Domestica;185;Fisica;Madrugada;Via Melissa Freitas, 845;AM;Alexandre Oliveira;181;Mulher Cisgenero;Homossexual;Branco;Ensino Fundamental Completo;Feminino
